PMID,Country,Year
26531778,China,2016
27431648,China,2016
27878285,China,2016
26986985,China,2016
27350307,China,2016
27220595,China,2016
26707908,China,2016
27430162,China,2016
26531674,China,2016
27035764,China,2016
27221674,China,2016
27748882,China,2016
27035425,China,2016
26531153,China,2016
26719072,China,2016
26718770,China,2016
27573292,China,2016
27431378,China,2016
27959429,China,2016
26796749,China,2016
26718123,China,2016
28000900,China,2016
27430325,China,2016
27571748,China,2016
26986176,China,2016
27959430,China,2016
27748935,China,2016
26530025,China,2016
26707376,China,2016
26986649,China,2016
28004113,China,2016
28000883,China,2017
28112358,China,2017
28000878,China,2017
27840995,China,2017
28534959,China,2017
28350100,China,2017
29130102,China,2017
28260059,China,2017
27840955,China,2017
29048623,China,2017
28560386,China,2017
28440462,China,2017
28627627,China,2017
28627653,China,2017
28098896,China,2017
28656228,China,2017
28627702,China,2017
28731180,China,2017
28791407,China,2017
28714009,China,2017
28534979,China,2017
29048682,China,2017
28901497,China,2017
28534994,China,2017
28260085,China,2017
29130111,China,2017
28260054,China,2017
28440497,China,2017
28075454,China,2017
28849076,China,2017
28628187,China,2017
29048669,China,2017
28731158,China,2017
28498395,China,2017
28849218,China,2017
28259917,China,2017
29039607,China,2017
29048674,China,2017
28849183,China,2017
28098914,China,2017
28901466,China,2017
28560426,China,2017
28791365,China,2017
28791406,China,2017
28560434,China,2017
28713953,China,2017
28586051,China,2017
28393222,China,2017
28849156,China,2017
28440491,China,2017
28586038,China,2017
28339080,China,2017
28731178,China,2017
29039571,China,2017
28714018,China,2017
28498424,China,2017
28713928,China,2017
28677774,China,2017
28656258,China,2017
29048643,China,2017
28350138,China,2017
28627703,China,2017
28350098,China,2017
28731167,China,2017
28098897,China,2017
28184931,China,2017
29039544,China,2017
28677798,China,2017
28260082,China,2017
28586066,China,2017
28656268,China,2017
28677795,China,2017
27840958,China,2017
28350121,China,2017
29048678,China,2017
28901461,China,2017
28498445,China,2017
29048684,China,2017
28498468,China,2017
28184944,China,2017
29048677,China,2017
28586074,China,2017
28765951,China,2017
29039609,China,2017
28627705,China,2017
29048680,China,2017
29048687,China,2017
29048676,China,2017
29115526,China,2018
29484437,China,2018
29436681,China,2018
29484417,China,2018
29286157,China,2018
30066900,China,2018
29901201,China,2018
29207176,China,2018
29693185,China,2018
29251332,China,2018
29115551,China,2018
29901160,China,2018
30106442,China,2018
29328485,China,2018
29845219,China,2018
30066886,China,2018
29750311,China,2018
30015962,China,2018
30015944,China,2018
29901203,China,2018
29207180,China,2018
29749494,China,2018
29328486,China,2018
29484423,China,2018
29693129,China,2018
29393474,China,2018
29328491,China,2018
29436693,China,2018
29328466,China,2018
29658610,China,2018
29138846,China,2018
29436678,China,2018
29767268,China,2018
29749557,China,2018
29901157,China,2018
30106440,China,2018
30066899,China,2018
29328407,China,2018
29565463,China,2018
29750300,China,2018
29767245,China,2018
29138842,China,2018
29138833,China,2018
29436661,China,2018
29749531,China,2018
29115564,China,2018
29115556,China,2018
29901155,China,2018
30226546,China,2018
29901162,China,2018
29328452,China,2018
30226542,China,2018
29693191,China,2018
29693187,China,2018
29512773,China,2018
29658596,China,2018
30226561,China,2018
29393444,China,2018
29328401,China,2018
29393501,China,2018
29393407,China,2018
29138858,China,2018
30066895,China,2018
29138866,China,2018
29767256,China,2018
29115540,China,2018
29192321,China,2018
29901115,China,2018
29512765,China,2018
29693175,China,2018
29393491,China,2018
29565447,China,2018
30106439,China,2018
29286139,China,2018
29658599,China ,2018
29048637,France,2017
28098915,France,2017
26884249,Italy,2016
25504183,Japan,2015
26252838,Japan,2015
26986830,Japan,2016
27221145,Japan,2016
28560413,Japan,2017
28791383,Japan,2017
28035402,Japan,2017
28260092,Japan,2017
29138864,Japan,2018
29620290,Japan,2018
30132562,Japan,2018
29192324,Japan,2018
24626561,Korea,2014
24213951,Korea,2014
24220687,Korea,2014
24789371,Korea,2014
25370208,Korea,2015
25592064,Korea,2015
25647264,Korea,2015
26323829,Korea,2015
26081937,Korea,2015
25710185,Korea,2015
27035791,Korea,2016
26573731,Korea,2016
27959451,Korea,2016
28440457,Korea,2017
26252575,Malaysia,2015
26531053,Malaysia,2016
29620223,Mexico,2018
26329992,Poland,2015
24626680,Taiwan,2014
26352173,Taiwan,2015
24173498,UK,2014
24270644,UK,2014
25998939,UK,2015
28098912,UK,2017
25823469,USA,2015
N/A,USA,2017
